10:00,23
10:45,1
11:00,27
11:15,10
11:30,3
11:45,2
12:00,52
12:15,1
12:30,12
13:00,45
13:30,10
13:45,2
14:00,58
14:15,1
14:30,17
15:00,100
15:15,1
15:30,17
15:45,3
16:00,98
16:30,24
16:55,1
17:00,245
17:15,2
17:30,22
17:45,4
17:50,2
17:55,1
18:00,118
18:30,23
18:45,2
19:00,79
19:10,1
19:15,6
19:20,1
19:30,14
19:45,2
19:55,1
20:00,44
20:10,2
20:15,1
20:30,9
20:45,3
21:00,50
21:15,2
21:30,24
21:35,1
21:45,10
22:00,19
22:05,1
22:30,12
23:00,14
23:15,1
23:30,4
00:00,16
00:10,1
00:15,1
00:30,4
01:00,9
01:30,4
01:45,1
02:00,11
02:15,2
02:30,7
03:00,10
03:05,1
03:15,1
03:30,4
04:00,11
04:15,2
04:30,4
05:00,4
05:05,2
05:30,8
06:00,1


