06:30,2
07:00,1
07:30,2
07:45,1
08:00,6
08:30,1
08:45,3
09:00,13
09:30,1
09:45,1
10:00,13
10:30,5
11:00,21
11:15,2
11:30,4
11:45,1
12:00,10
12:15,1
12:30,6
12:45,1
13:00,34
13:15,1
13:20,1
13:30,10
14:00,27
14:30,2
14:45,1
15:00,21
15:30,6
15:45,1
16:00,22
16:10,3
16:15,2
16:30,9
17:00,55
17:15,1
17:16,1
17:30,35
17:45,1
18:00,39
18:15,3
18:30,16
18:45,16
19:00,9
19:15,1
19:30,2
20:00,4
20:15,1
20:30,1
21:00,4
22:00,9
22:30,2
23:00,3
23:15,1
23:30,2
00:00,7
00:10,1
00:30,3
01:00,3
02:00,8
04:00,5
04:30,1
05:00,11
06:00,6
